Country,Country Code,Continent,Region,Year,Covid_Confirmed_Cases,Covid_Death_Cases,Vaccinations
Afghanistan,004,Asia,Southern Asia,2022,1.590932655980935,3.01,11.99
Afghanistan,004,Asia,Southern Asia,2022,0.708289530193382,3.25,11.95
Afghanistan,004,Asia,Southern Asia,2022,0.814570891628528,3.69,11.69
Afghanistan,004,Asia,Southern Asia,2022,3.586001008723042,3.65,11.95
Afghanistan,004,Asia,Southern Asia,2022,0.0865631699552052,3.59,11.98
Afghanistan,004,Asia,Southern Asia,2022,10.2346664493800973,3.58,11.28
Afghanistan,004,Asia,Southern Asia,2022,17.22.0538378507094788,3.98,11.29
Afghanistan,004,Asia,Southern Asia,2022,15.6498476069586166,3.29,11.25
Afghanistan,004,Asia,Southern Asia,2022,8.8348933476875164,3.05,11.26
Afghanistan,004,Asia,Southern Asia,2022,0.7502988703319752,2.98,10.29
Afghanistan,004,Asia,Southern Asia,2021,0.6502322742475073,2.59,10.25
Afghanistan,004,Asia,Southern Asia,2021,0.6579246102034633,2.58,9.36
Afghanistan,004,Asia,Southern Asia,2021,35.0416473729442398,2.36,7.25
Afghanistan,004,Asia,Southern Asia,2021,38.3141675582643255,1.09,7.58
Afghanistan,004,Asia,Southern Asia,2021,3.5586065272553935,0.98,6.25
Afghanistan,004,Asia,Southern Asia,2021,2.1151147982490871,0.89,5.89
Afghanistan,004,Asia,Southern Asia,2020,4.5221469767582564,0.87,0
Afghanistan,004,Asia,Southern Asia,2020,4.0800799853539741,0.54,0
Afghanistan,004,Asia,Southern Asia,2020,4.0906158517198149,0.43,0
Afghanistan,004,Asia,Southern Asia,2020,4.103278005102276,0.10,0
Afghanistan,004,Asia,Southern Asia,2020,4.797712614839642,0.02,0
Afghanistan,004,Asia,Southern Asia,2020,4.228187363382394,0.01,0
Albania,008,Europe,Southern Europe,2022,1.48010912262757,4668.091
Albania,008,Europe,Southern Europe,2022,1.40154526318329,4415.068
Albania,008,Europe,Southern Europe,2022,1.42435559956017,4488.408
Albania,008,Europe,Southern Europe,2022,1.47534632111431,4657.09
Albania,008,Europe,Southern Europe,2022,1.41411657173755,4477.407
Albania,008,Europe,Southern Europe,2022,1.21557768920544,3865.018
Albania,008,Europe,Southern Europe,2022,1.33089705362423,4253.72
Albania,008,Europe,Southern Europe,2022,1.29522911687313,4165.712
Albania,008,Europe,Southern Europe,2022,1.32557784888181,4294.057
Albania,008,Europe,Southern Europe,2022,1.14945017704397,3751.341
Albania,008,Europe,Southern Europe,2021,0.980891845734924,3223.293
Albania,008,Europe,Southern Europe,2021,0.914267940070464,3021.608
Albania,008,Europe,Southern Europe,2021,0.899635647529597,2984.938
Albania,008,Europe,Southern Europe,2021,0.527093427187128,1752.826
Albania,008,Europe,Southern Europe,2021,0.463422424224413,1543.807
Albania,008,Europe,Southern Europe,2021,0.603658797567107,2016.85
Albania,008,Europe,Southern Europe,2020,0.621385121109945,2086.523
Albania,008,Europe,Southern Europe,2020,0.56992696123086,1928.842
Albania,008,Europe,Southern Europe,2020,0.685695348347223,2343.213
Albania,008,Europe,Southern Europe,2020,0.692577704100372,2387.217
Albania,008,Europe,Southern Europe,2020,1.14787082236558,3971.361
Albania,008,Europe,Southern Europe,2020,2.1724021884126,7488.014
Algeria,012,Africa,Northern Africa,2022,13.22420156024837,12.1755,14.99
Algeria,012,Africa,Northern Africa,2022,13.21822540756478,11.9276,14.99
Algeria,012,Africa,Northern Africa,2022,23.33598179186705,12.137,14.99
Algeria,012,Africa,Northern Africa,2022,13.12315273817824,11.1575,14.96
Algeria,012,Africa,Northern Africa,2022,13.11407815752455,10.092,14.95
Algeria,012,Africa,Northern Africa,2022,12.92459156511447,10.091,14.56
Algeria,012,Africa,Northern Africa,2022,8.15444315482424,10.712,14.59
Algeria,012,Africa,Northern Africa,2022,32.67452294580508,8.949,14.58
Algeria,012,Africa,Northern Africa,2022,52.8037402280647,9.253,14.39
Algeria,012,Africa,Northern Africa,2022,32.78923206804217,9.085,14.36
Algeria,012,Africa,Northern Africa,2021,25.62186033815406,8.4293,14.33
Algeria,012,Africa,Northern Africa,2021,7.77214755527437,8.7930,14.32
Algeria,012,Africa,Northern Africa,2021,4.94532031367526,9.211,14.29
Algeria,012,Africa,Northern Africa,2021,5.47432043058445,10.7080,14.26
Algeria,012,Africa,Northern Africa,2021,22.90636555062295,9.88195,14.25
Algeria,012,Africa,Northern Africa,2021,7.25450893155109,9.7131,11.25
