Country,Country Code,Continent,Region,Year,Emissions_Per_Capita,Emissions,Vaccinations
Afghanistan,4,Asia,Southern Asia,2022,1.590932656,0.1,11.75
Afghanistan,4,Asia,Southern Asia,2022,0.70828953,0.1,11.64
Afghanistan,4,Asia,Southern Asia,2022,0.814570892,0.12,11.4
Afghanistan,4,Asia,Southern Asia,2022,3.586001009,0.25,11.1
Afghanistan,4,Asia,Southern Asia,2022,0.08656317,0.2,11.05
Afghanistan,4,Asia,Southern Asia,2022,10.23466645,0.15,10.75
Afghanistan,4,Asia,Southern Asia,2022,17.22.0538378507094788,0.1,10.62
Afghanistan,4,Asia,Southern Asia,2022,15.64984761,0.2,10.15
Afghanistan,4,Asia,Southern Asia,2022,8.834893348,0.3,9.77
Afghanistan,4,Asia,Southern Asia,2022,0.75029887,894.748,9.62
Afghanistan,4,Asia,Southern Asia,2021,0.650232274,0.7,10
Afghanistan,4,Asia,Southern Asia,2021,0.65792461,0.73,8
Afghanistan,4,Asia,Southern Asia,2021,35.04164737,0.6,1.08
Afghanistan,4,Asia,Southern Asia,2021,38.31416756,0.28,0.55
Afghanistan,4,Asia,Southern Asia,2021,3.558606527,0.3,0.46
Afghanistan,4,Asia,Southern Asia,2021,2.115114798,0.32,0.36
Afghanistan,4,Asia,Southern Asia,2020,4.522146977,0.23,0
Afghanistan,4,Asia,Southern Asia,2020,4.080079985,0.35,0
Afghanistan,4,Asia,Southern Asia,2020,4.090615852,0.34,0
Afghanistan,4,Asia,Southern Asia,2020,4.103278005,0.33,0
Afghanistan,4,Asia,Southern Asia,2020,4.797712615,0.35,0
Afghanistan,4,Asia,Southern Asia,2020,4.228187363,0.2,0
Albania,8,Europe,Southern Europe,2022,1.480109123,,
Albania,8,Europe,Southern Europe,2022,1.401545263,,
Albania,8,Europe,Southern Europe,2022,1.4243556,,
Albania,8,Europe,Southern Europe,2022,1.475346321,,
Albania,8,Europe,Southern Europe,2022,1.414116572,,
Albania,8,Europe,Southern Europe,2022,1.215577689,,
Albania,8,Europe,Southern Europe,2022,1.330897054,,
Albania,8,Europe,Southern Europe,2022,1.295229117,,
Albania,8,Europe,Southern Europe,2022,1.325577849,,
Albania,8,Europe,Southern Europe,2022,1.149450177,,
Albania,8,Europe,Southern Europe,2021,0.980891846,,
Albania,8,Europe,Southern Europe,2021,0.91426794,,
Albania,8,Europe,Southern Europe,2021,0.899635648,,
Albania,8,Europe,Southern Europe,2021,0.527093427,,
Albania,8,Europe,Southern Europe,2021,0.463422424,,
Albania,8,Europe,Southern Europe,2021,0.603658798,,
Albania,8,Europe,Southern Europe,2020,0.621385121,,
Albania,8,Europe,Southern Europe,2020,0.569926961,,
Albania,8,Europe,Southern Europe,2020,0.685695348,,
Albania,8,Europe,Southern Europe,2020,0.692577704,,
Albania,8,Europe,Southern Europe,2020,1.147870822,,
Albania,8,Europe,Southern Europe,2020,2.172402188,,
Algeria,12,Africa,Northern Africa,2022,3.22420156,,
Algeria,12,Africa,Northern Africa,2022,3.218225408,,
Algeria,12,Africa,Northern Africa,2022,3.335981792,,
Algeria,12,Africa,Northern Africa,2022,3.123152738,,
Algeria,12,Africa,Northern Africa,2022,3.114078158,,
Algeria,12,Africa,Northern Africa,2022,2.924591565,,
Algeria,12,Africa,Northern Africa,2022,3.154443155,,
Algeria,12,Africa,Northern Africa,2022,2.674522946,,
Algeria,12,Africa,Northern Africa,2022,2.803740228,,
Algeria,12,Africa,Northern Africa,2022,2.789232068,,
Algeria,12,Africa,Northern Africa,2021,2.621860338,,
Algeria,12,Africa,Northern Africa,2021,2.772147555,,
Algeria,12,Africa,Northern Africa,2021,2.945320314,,
Algeria,12,Africa,Northern Africa,2021,3.474320431,,
Algeria,12,Africa,Northern Africa,2021,2.906365551,,
Algeria,12,Africa,Northern Africa,2021,3.254508932,,
Algeria,12,Africa,Northern Africa,2020,3.252401881,,
Algeria,12,Africa,Northern Africa,2020,3.008438011,,
Algeria,12,Africa,Northern Africa,2020,2.922654307,,
Algeria,12,Africa,Northern Africa,2020,2.975667284,,
Algeria,12,Africa,Northern Africa,2020,3.020056546,,
Algeria,12,Africa,Northern Africa,2020,3.007839912,,
Andorra,20,Europe,Southern Europe,2022,,,
Andorra,20,Europe,Southern Europe,2022,,,
Andorra,20,Europe,Southern Europe,2022,,,
Andorra,20,Europe,Southern Europe,2022,,,
Andorra,20,Europe,Southern Europe,2022,,,
Andorra,20,Europe,Southern Europe,2022,,,
Andorra,20,Europe,Southern Europe,2022,,,
Andorra,20,Europe,Southern Europe,2022,,,
Andorra,20,Europe,Southern Europe,2022,,,
Andorra,20,Europe,Southern Europe,2022,,,
Andorra,20,Europe,Southern Europe,2021,,,
Andorra,20,Europe,Southern Europe,2021,,,
Andorra,20,Europe,Southern Europe,2021,,,
Andorra,20,Europe,Southern Europe,2021,,,
Andorra,20,Europe,Southern Europe,2021,,,
Andorra,20,Europe,Southern Europe,2021,,,
Andorra,20,Europe,Southern Europe,2020,,,
Angola,24,Africa,Middle Africa,2022,1.47221569,,
Angola,24,Africa,Middle Africa,2022,1.52145114,,
Angola,24,Africa,Middle Africa,2022,1.551339989,,
Angola,24,Africa,Middle Africa,2022,1.483663629,,
Angola,24,Africa,Middle Africa,2022,1.419985486,,
Angola,24,Africa,Middle Africa,2022,1.300402531,,
Angola,24,Africa,Middle Africa,2022,1.157880358,,
Angola,24,Africa,Middle Africa,2022,1.176297818,,
Angola,24,Africa,Middle Africa,2022,0.587820499,,
Angola,24,Africa,Middle Africa,2022,0.850821552,,
Angola,24,Africa,Middle Africa,2021,0.676539905,,
Angola,24,Africa,Middle Africa,2021,0.685212349,,
Angola,24,Africa,Middle Africa,2021,0.677726241,,
Angola,24,Africa,Middle Africa,2021,0.556293635,,
Angola,24,Africa,Middle Africa,2021,0.577081314,,
Angola,24,Africa,Middle Africa,2021,0.842542029,,
Angola,24,Africa,Middle Africa,2020,0.909710423,,
Angola,24,Africa,Middle Africa,2020,0.331307492,,
Angola,24,Africa,Middle Africa,2020,0.510122619,,
Angola,24,Africa,Middle Africa,2020,0.401602489,,
Angola,24,Africa,Middle Africa,2020,0.409979248,,
Angola,24,Africa,Middle Africa,2020,0.428662945,,
Anguilla,660,Americas,Caribbean,2022,,,
Anguilla,660,Americas,Caribbean,2022,,,
Anguilla,660,Americas,Caribbean,2022,,,
Anguilla,660,Americas,Caribbean,2022,,,
Anguilla,660,Americas,Caribbean,2022,,,
Anguilla,660,Americas,Caribbean,2022,,,
Anguilla,660,Americas,Caribbean,2022,,,
Anguilla,660,Americas,Caribbean,2022,,,
Anguilla,660,Americas,Caribbean,2022,,,
Anguilla,660,Americas,Caribbean,2022,,,
Anguilla,660,Americas,Caribbean,2021,,,
Anguilla,660,Americas,Caribbean,2021,,,
Anguilla,660,Americas,Caribbean,2021,,,
Anguilla,660,Americas,Caribbean,2021,,,
Anguilla,660,Americas,Caribbean,2021,,,
Antigua and Barbuda,28,Americas,Caribbean,2022,5.823804338,,
Antigua and Barbuda,28,Americas,Caribbean,2022,6.011268671,,
Antigua and Barbuda,28,Americas,Caribbean,2022,5.906292005,,
Antigua and Barbuda,28,Americas,Caribbean,2022,5.628384633,,
Antigua and Barbuda,28,Americas,Caribbean,2022,5.561524699,,
Antigua and Barbuda,28,Americas,Caribbean,2022,5.096289552,,
Antigua and Barbuda,28,Americas,Caribbean,2022,4.974311149,,
Antigua and Barbuda,28,Americas,Caribbean,2022,4.980995619,,
Antigua and Barbuda,28,Americas,Caribbean,2022,4.804484327,,
Antigua and Barbuda,28,Americas,Caribbean,2022,4.536211421,,
Antigua and Barbuda,28,Americas,Caribbean,2021,4.364812845,,
Antigua and Barbuda,28,Americas,Caribbean,2021,4.439238615,,
Antigua and Barbuda,28,Americas,Caribbean,2021,4.581278521,,
